run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	submitted_aspera	submitted_bytes
ERR14788825	SAMEA4777513	Bosnia and Herzegovina	2017-06-13	DTU2017_MG_78_BA_BL	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14788825/ERR14788825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14788825/ERR14788825_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788825/capture_batch1_sample5_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788825/capture_batch1_sample5_R2.fastq.gz	13679638;11217395
ERR14788826	SAMEA7428261	Bosnia and Herzegovina	2017-11-21	DTU_2017_513_1_MG_BA_BL_209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14788826/ERR14788826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14788826/ERR14788826_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788826/capture_batch1_sample6_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788826/capture_batch1_sample6_R2.fastq.gz	15203515;11900931
ERR14788829	SAMEA4777412	Canada	2017-06-14	DTU2017_MG_139_CA_OT	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14788829/ERR14788829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14788829/ERR14788829_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788829/capture_batch1_sample9_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788829/capture_batch1_sample9_R2.fastq.gz	49879159;44989631
ERR14788830	SAMEA7428340	Canada	2017-11-27	DTU_2017_602_1_MG_CA_OT_298	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14788830/ERR14788830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14788830/ERR14788830_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788830/capture_batch1_sample10_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788830/capture_batch1_sample10_R2.fastq.gz	26760179;22685565
ERR14788842	SAMEA13189762	Tanzania	2018-09-26	DTU_2018_1013601_1_MG_TZ_MO_10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/042/ERR14788842/ERR14788842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/042/ERR14788842/ERR14788842_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788842/capture_batch1_sample22_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788842/capture_batch1_sample22_R2.fastq.gz	6814578;6010804
ERR14788844	SAMEA7428540	China	2018-06-05	DTU_2018_783_1_MG_CN_GU_480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788844/ERR14788844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788844/ERR14788844_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788844/capture_batch1_sample24_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788844/capture_batch1_sample24_R2.fastq.gz	14897851;12800913
ERR14788845	SAMEA13189680	China	2017-07-11	DTU_2017_1013516_1_MG_CN1707_L12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788845/ERR14788845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788845/ERR14788845_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788845/capture_batch1_sample25_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788845/capture_batch1_sample25_R2.fastq.gz	35473928;32852264
ERR14788847	SAMEA13189682	China	2017-09-30	DTU_2017_1013518_1_MG_CN1709_L14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788847/ERR14788847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788847/ERR14788847_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788847/capture_batch1_sample27_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788847/capture_batch1_sample27_R2.fastq.gz	43825927;40061719
ERR14788848	SAMEA13189683	China	2017-10-13	DTU_2017_1013519_1_MG_CN1710_L15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788848/ERR14788848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788848/ERR14788848_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788848/capture_batch1_sample28_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788848/capture_batch1_sample28_R2.fastq.gz	28685383;25943666
ERR14788850	SAMEA13189713	China	2018-01-10	DTU_2018_1013549_1_MG_CN1801_L47	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788850/ERR14788850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/050/ERR14788850/ERR14788850_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788850/capture_batch1_sample30_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788850/capture_batch1_sample30_R2.fastq.gz	61026514;55906739
ERR14788860	SAMEA7426309	Cambodia	2019-01-03	DTU_2018_854_1_MG_KH_PP_538	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14788860/ERR14788860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/060/ERR14788860/ERR14788860_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788860/capture_batch1_sample40_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788860/capture_batch1_sample40_R2.fastq.gz	13835625;12045072
ERR14788862	SAMEA7428466	Netherlands	2018-07-02	DTU_2018_701_1_MG_NL_UT_389	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14788862/ERR14788862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/062/ERR14788862/ERR14788862_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788862/capture_batch1_sample42_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788862/capture_batch1_sample42_R2.fastq.gz	27591003;25333598
ERR14788863	SAMEA7426376	Netherlands	2018-12-20	DTU_2018_925_1_MG_NL_UT_608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14788863/ERR14788863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/063/ERR14788863/ERR14788863_2.fastq.gz	wastewater metagenome	fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788863/capture_batch1_sample43_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR147/ERR14788863/capture_batch1_sample43_R2.fastq.gz	18372614;15303283
