run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788921	SAMEA117872997	Australia	2017-06-15	AU-ME-133	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/021/ERR14788921/ERR14788921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/021/ERR14788921/ERR14788921_2.fastq.gz	Stigmatella aurantiaca	Melbourne
ERR14789037	SAMEA117872998	Ecuador	2017-06-14	EC-QU-96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/037/ERR14789037/ERR14789037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/037/ERR14789037/ERR14789037_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789033	SAMEA117872999	Ecuador	2018-09-26	EC-1809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14789033/ERR14789033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/033/ERR14789033/ERR14789033_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789034	SAMEA117873000	Ecuador	2018-10-26	EC-1810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/034/ERR14789034/ERR14789034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/034/ERR14789034/ERR14789034_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789035	SAMEA117873001	Ecuador	2018-11-16	EC-1811	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/035/ERR14789035/ERR14789035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/035/ERR14789035/ERR14789035_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789036	SAMEA117873002	Ecuador	2018-12-28	EC-1812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/036/ERR14789036/ERR14789036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/036/ERR14789036/ERR14789036_2.fastq.gz	Stigmatella aurantiaca	Quito
ERR14789013	SAMEA117873003	Canada	2017-06-22	CA-RE-136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/013/ERR14789013/ERR14789013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/013/ERR14789013/ERR14789013_2.fastq.gz	Stigmatella aurantiaca	Regina
ERR14788984	SAMEA117873005	Denmark	2017-06-11	RD-265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/084/ERR14788984/ERR14788984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/084/ERR14788984/ERR14788984_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14788985	SAMEA117873006	Denmark	2017-07-01	RD-271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/085/ERR14788985/ERR14788985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/085/ERR14788985/ERR14788985_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14788986	SAMEA117873007	Denmark	2017-08-09	RD-287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/086/ERR14788986/ERR14788986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/086/ERR14788986/ERR14788986_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14788987	SAMEA117873008	Denmark	2017-09-13	RD-297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/087/ERR14788987/ERR14788987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/087/ERR14788987/ERR14788987_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14788988	SAMEA117873009	Denmark	2017-10-01	RD-304	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/088/ERR14788988/ERR14788988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/088/ERR14788988/ERR14788988_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
ERR14788989	SAMEA117873010	Denmark	2017-11-01	RD-317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/089/ERR14788989/ERR14788989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/089/ERR14788989/ERR14788989_2.fastq.gz	Stigmatella aurantiaca	Copenhagen
