name,taxid,host_taxid
Simplexvirus,10294,9606
Varicellovirus,10319,9606
Cytomegalovirus,10358,9606
Roseolovirus,40272,9606
Lymphocryptovirus,10375,9606
Rhadinovirus,10379,9606
Mastadenovirus,10509,9606
Molluscipoxvirus,10278,9606
Orthopoxvirus,10242,9606
Parapoxvirus,10257,9606
Alphapapillomavirus,333750,9606
Betapapillomavirus,333922,9606
Chipapillomavirus,934800,9606
Gammapapillomavirus,325455,9606
Mupapillomavirus,334202,9606
Nupapillomavirus,475861,9606
Alphapolyomavirus,1891713,9606
Betapolyomavirus,1891714,9606
Deltapolyomavirus,1891715,9606
Cyclovirus,742914,9606
Gemycircularvirus,1542744,9606
Gemykibivirus,1941236,9606
Gemyvongvirus,1985370,9606
Erythroparvovirus,40121,9606
Dependoparvovirus,10803,9606
Bocaparvovirus,1507401,9606
Alphatorquevirus,687331,9606
Betatorquevirus,687332,9606
Gammatorquevirus,687333,9606
Hetorquevirus,,9606
Memtorquevirus,,9606
Omegatorquevirus,2842923,9606
Samektorquevirus,,9606
Yodtorquevirus,,9606
Orthohepadnavirus,10405,9606
Gammaretrovirus,153135,9606
Deltaretrovirus,153136,9606
Lentivirus,11646,9606
Simiispumavirus,2169668,9606
Coltivirus,10911,9606
Rotavirus,10912,9606
Seadornavirus,208294,9606
Orthoflavivirus,3044782,9606
Hepacivirus,11102,9606
Jingmenvirus group,2982806,9606
Pegivirus,1307799,9606
Paslahepevirus,2948857,9606
Rubivirus,11040,9606
Alphavirus,11019,9606
Alphacoronavirus,693996,9606
Betacoronavirus,694002,9606
Torovirus,11155,9606
Mamastrovirus,249588,9606
Norovirus,142786,9606
Sapovirus,95341,9606
Cardiovirus,12103,9606
Cosavirus,586418,9606
Enterovirus,12059,9606
Hepatovirus,12091,9606
Kobuvirus,194960,9606
Parechovirus,138954,9606
Rosavirus,1511804,9606
Salivirus,688449,9606
Orthoebolavirus,3044781,9606
Orthomarburgvirus,3044783,9606
Henipavirus,260964,9606
Morbillivirus,11229,9606
Respirovirus,186938,9606
Orthorubulavirus,2560195,9606
Metapneumovirus,162387,9606
Orthopneumovirus,1868215,9606
Ledantevirus,1978532,9606
Lyssavirus,11286,9606
Vesiculovirus,11271,9606
Mammarenavirus,1653394,9606
Orthohantavirus,1980442,9606
Norwavirus,2842910,9606
Orthonairovirus,1980517,9606
Orthobunyavirus,11572,9606
Phlebovirus,11584,9606
Alphainfluenzavirus,197911,9606
Betainfluenzavirus,197912,9606
Gammainfluenzavirus,197913,9606
Quaranjavirus,1299308,9606
Thogotovirus,35323,9606
Deltavirus,39759,9606
