name,taxid,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9511.0,Ateles sp.,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9534.0,Chlorocebus aethiops,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9913.0,Bos taurus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9533.0,Cercopithecus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9979.0,Leporidae,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9598.0,Pan troglodytes,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9606.0,Homo sapiens,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9986.0,Oryctolagus cuniculus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9541.0,Macaca fascicularis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9544.0,Macaca mulatta,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9545.0,Macaca nemestrina,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,54601.0,Macaca silenus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,90387.0,Macaca leonina,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9307.0,Macropodidae,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9309.0,Potorous,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,69267.0,Dorcopsis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9317.0,Macropus giganteus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
Simplexvirus,10294,,,,,,,,,,,,,,0.08,9556.0,Papio cynocephalus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
