name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9836.0,Camelus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9483.0,Callithrix jacchus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9615.0,Canis lupus familiaris,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9649.0,Ailurus fulgens,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9683.0,Felis silvestris,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9685.0,Felis catus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9689.0,Panthera leo,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9690.0,Panthera onca,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9691.0,Panthera pardus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9696.0,Puma concolor,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9783.0,Elephas maximus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9785.0,Loxodonta africana,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9796.0,Equus caballus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9802.0,Tapirus indicus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9805.0,Diceros bicornis,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,10129.0,Apodemus sylvaticus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,10185.0,Castor fiber,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,29092.0,Microtus agrestis,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,32536.0,Acinonyx jubatus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,32538.0,Leopardus pardalis,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,42254.0,Sorex araneus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,73337.0,Ceratotherium simum simum,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,86973.0,Okapia johnstoni,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,186474.0,Rhombomys opimus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
