name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8855.0,Cairina moschata,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9544.0,Macaca mulatta,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,60711.0,Chlorocebus sabaeus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,40674.0,Mammalia,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9925.0,Capra hircus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8782.0,Aves,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9031.0,Gallus gallus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9534.0,Chlorocebus aethiops,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,93934.0,Coturnix japonica,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,203696.0,Myotis pilosus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,103695.0,Pogona vitticeps,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,10090.0,Mus musculus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9704.0,Zalophus californianus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,9430.0,Desmodus rotundus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8843.0,Anser anser,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,176066.0,Myiopsitta monachus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8516.0,Iguana,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8574.0,Boa constrictor,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8690.0,Viperinae,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,51751.0,Python regius,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
Marafivirus,12051,0.22,0.6,0.34,0.48,1.03,0.26,,,,,,,0.3,,,3879.0,Medicago sativa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Marafivirus,Marafivirus medicagonis,+ssRNA
Marafivirus,12051,0.22,0.6,0.34,0.48,1.03,0.26,,,,,,,0.3,,,75066.0,Rubus canadensis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Marafivirus,Marafivirus rubi,+ssRNA
