name,taxid,ERR14789353,ERR14789354,ERR14789355,ERR14789356,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,59473.0,Pipistrellus nathusii,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,59474.0,Pipistrellus pipistrellus,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9534.0,Chlorocebus aethiops,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9606.0,Homo sapiens,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9615.0,Canis lupus familiaris,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9823.0,Sus scrofa,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,203696.0,Myotis pilosus,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,225399.0,Myotis chinensis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,105273.0,Vespertilio sinensis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
