name,taxid,ERR14789334,ERR14789335,ERR14789336,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,59473.0,Pipistrellus nathusii,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,59474.0,Pipistrellus pipistrellus,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9534.0,Chlorocebus aethiops,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9606.0,Homo sapiens,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9615.0,Canis lupus familiaris,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9823.0,Sus scrofa,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,203696.0,Myotis pilosus,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,225399.0,Myotis chinensis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,105273.0,Vespertilio sinensis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,27674.0,Corynorhinus rafinesquii,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9402.0,Pteropus alecto,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
Mastadenovirus,10509,0.11,,,,,,0.48,,,,0.3,,,,,9408.0,Rousettus leschenaultii,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
