name,taxid,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9749.0,Delphinapterus leucas,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,89462.0,Bubalus bubalis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9615.0,Canis lupus familiaris,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9925.0,Capra hircus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9538.0,Erythrocebus patas,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9860.0,Cervus elaphus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,86329.0,Rangifer tarandus tarandus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,1574408.0,Cervus canadensis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9796.0,Equus caballus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,1114792.0,Equus ferus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9789.0,Equus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9793.0,Equus asinus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9681.0,Felidae,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9720.0,Phoca vitulina,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Varicellovirus,10319,,,,,,,,,,,0.02,,,,,,9823.0,Sus scrofa,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9505.0,Aotus trivirgatus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9533.0,Cercopithecus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9539.0,Macaca,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9606.0,Homo sapiens,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9541.0,Macaca fascicularis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9544.0,Macaca mulatta,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9568.0,Mandrillus leucophaeus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9598.0,Pan troglodytes,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9555.0,Papio anubis,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
Cytomegalovirus,10358,,,,,,,,,,,0.02,,,,,,9556.0,Papio cynocephalus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
