name,taxid,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Simplexvirus,10294,,,,,,,,,,,,,,0.08,9511.0,Ateles sp.,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
                  Mastadenovirus,10509,,,,,,,,,,,0.15,0.33,,0.09,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                  Tequatrovirus,10663,,,,,,,,,0.09,,,,,,67825.0,Citrobacter rodentium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Tequatrovirus,dsDNA
                  Enterovirus,12059,,,,,,,0.02,,0.09,0.06,,,,,,,,,,,,,,,
                Sobemovirus,12137,,0.16,,,,,,,,0.1,,,,,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,,,,,,,0.02,,,,,,,,,,,,,,,,,,
                Potexvirus,12176,,0.84,2.95,1.82,2.58,0.64,0.36,0.74,1.19,1.71,0.6,0.52,0.52,0.66,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Tobamovirus,12234,54.9,68.85,53.38,59.57,52.69,81.07,92.13,68.04,70.86,74.28,50.1,51.21,48.49,61.15,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                  Chlamydiamicrovirus,40274,,,,,,,0.02,,,,,,,,83554.0,Chlamydia psittaci,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gokushovirinae,Chlamydiamicrovirus,
                  Teseptimavirus,110456,,,,,,,,,0.14,,,,,,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Teseptimavirus,dsDNA
