name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Orthopoxvirus,10242,,,,,,,,,,,,,0.11,,,9836.0,Camelus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
                  Rhadinovirus,10379,0.09,,,,,,,,,,,,,,,9506.0,Ateles,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Gammaherpesvirinae,Rhadinovirus,dsDNA
                  Mastadenovirus,10509,0.36,0.06,0.36,0.17,,0.15,,,,0.21,,0.22,,0.19,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                  Aviadenovirus,10552,0.07,,,0.09,,,,,,,,,,,,8855.0,Cairina moschata,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Aviadenovirus,
                  Tequatrovirus,10663,0.09,0.09,,,,,,,,,,,0.13,,,67825.0,Citrobacter rodentium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Tequatrovirus,dsDNA
                Rotavirus,10912,,,,,,,,,,,2.14,,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Duplornaviricota,Resentoviricetes,unclassified Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,dsRNA
                Sobemovirus,12137,0.23,1.24,0.33,,,,0.24,,,,,,,,,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,,0.25,0.12,,,,,0.28,,,,,,,,,,,,,,,,,,
                  Carlavirus,12163,0.32,0.1,0.2,0.12,,0.17,,0.22,,0.25,,,0.13,0.26,0.4,85363.0,Aconitum carmichaelii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus,+ssRNA
                Potexvirus,12176,0.11,0.19,0.17,,,,0.2,,,5.7,,,0.13,0.12,0.22,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Potyvirus,12195,,,,0.22,,,,,,,,0.22,,,,384659.0,Achyranthes bidentata,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,Potyvirus achyranthis,
                Tobamovirus,12234,5.28,10.61,7.38,4.75,13.41,9.89,17.29,45.89,26.81,18.35,3.4,19.57,12.0,3.33,10.12,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                Circovirus,39725,,,,0.38,10.35,,,,,,,,,,,136180.0,Acartia tonsa,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,unclassified Circovirus,
                  Teseptimavirus,110456,0.79,0.26,0.37,0.46,,0.24,,,0.49,,0.18,0.25,0.21,0.65,,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Teseptimavirus,dsDNA
