name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Dependoparvovirus,10803,,,,,0.27,,,,,,,,,,,8855.0,Cairina moschata,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
                Marafivirus,12051,0.22,0.6,0.34,0.48,1.03,0.26,,,,,,,0.3,,,3879.0,Medicago sativa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Marafivirus,Marafivirus medicagonis,+ssRNA
                Sobemovirus,12137,0.77,1.88,1.4,1.63,0.99,0.49,0.66,1.74,3.03,1.06,0.86,,1.3,1.77,0.41,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,10.75,16.22,19.7,17.46,21.6,23.79,14.78,19.75,27.83,5.86,5.27,4.95,18.52,21.62,18.55,,,,,,,,,,,
                Tymovirus,12148,0.62,0.38,0.56,,0.87,0.93,0.35,,0.45,,,,0.68,1.5,,3864.0,Lens culinaris,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus anagyris,+ssRNA
                  Carlavirus,12163,0.25,,0.41,0.52,0.47,0.23,0.24,,,,,,0.37,,,85363.0,Aconitum carmichaelii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus,+ssRNA
                Potexvirus,12176,0.68,0.64,1.2,0.86,1.79,0.81,1.08,0.64,0.62,,0.42,,1.05,1.72,2.84,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Tobamovirus,12234,30.08,26.23,35.23,18.71,19.62,29.93,30.15,30.65,22.22,24.35,18.64,6.29,39.01,16.52,26.34,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                  Comovirus,12258,0.17,0.6,1.09,,0.64,0.28,0.28,,,,,,0.93,,,4113.0,Solanum tuberosum,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Comovirus,
                  Machlomovirus,39739,,,,,,,,,,,,,0.27,,,,,,,,,,,,,
                Alphanodavirus,143920,0.25,0.7,0.34,,,,,,0.85,,0.53,,,,,295550.0,Heteronychus arator,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Alphanodavirus,Alphanodavirus heteronychi,+ssRNA
                Cripavirus,144051,19.31,,,,,,,,,,,,,,,7165.0,Anopheles gambiae,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,Cripavirus,unclassified Cripavirus,
              Punavirus,186789,,,,,,,0.38,,,3.74,0.89,,,,0.7,561.0,Escherichia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Punavirus,Punavirus P1,,dsDNA
              Lederbergvirus,186794,,,,,,,,,,,,1.09,,,,439184.0,Escherichia coli RS218,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lederbergvirus,unclassified Lederbergvirus,,dsDNA
                Mamastrovirus,249588,0.51,0.58,0.45,0.76,0.25,0.42,0.33,,,,,,1.05,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus melbournense,
                  Mimivirus,315393,0.39,0.86,0.97,1.11,0.82,0.86,0.45,1.21,,,,0.91,0.5,0.78,0.72,5755.0,Acanthamoeba castellanii,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,Mimivirus,
                  Enquatrovirus,371730,,,,,0.23,,,,,,,,,,,83333.0,Escherichia coli K-12,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Enquatrovirus,dsDNA
              Rauchvirus,542959,0.17,,,,,,,,,,,0.46,,0.28,,518.0,Bordetella bronchiseptica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rauchvirus,Rauchvirus BPP1,,dsDNA
              Uetakevirus,542960,,,,,,,,,,,,1.08,,,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Uetakevirus,unclassified Uetakevirus,,dsDNA
            Betabaculovirus,558017,,,,,,,,,,1.06,,,,0.28,,,,,,,,,,,,
                  Salivirus,688449,,0.24,,,,,,0.38,0.45,,1.03,,0.4,,,9598.0,Pan troglodytes,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kodimesavirinae,Salivirus,
                Cyclovirus,742914,0.25,0.88,0.24,,0.25,0.56,0.75,,,,0.27,,0.38,,0.29,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cyclovirus mchwa,
                  Felixounavirus,1198140,,,,,,,,,,,,1.66,,,,991919.0,Escherichia coli O145:NM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Andersonviridae,Ounavirinae,Felixounavirus,dsDNA
                  Alphanecrovirus,1299309,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
                  Protoparvovirus,1506574,,,,,,,,,,,0.78,,,,,9685.0,Felis catus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Protoparvovirus,
                  Bocaparvovirus,1507401,,0.52,0.32,0.35,0.25,0.32,0.28,,0.62,,0.31,,0.28,,0.29,188568.0,Aselliscus stoliczkanus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Bocaparvovirus,
                Gemycircularvirus,1542744,0.28,5.2,0.8,0.72,0.59,0.44,0.64,2.17,1.06,2.28,5.62,,1.51,0.53,2.25,9852.0,Alces alces,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemycircularvirus,Gemycircularvirus lepam1,
                Chivirus,1623283,,,,,0.23,,,,,,,,,,,28901.0,Salmonella enterica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Chivirus,,dsDNA
              Detrevirus,1623287,,,,,,,,,,,,0.39,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Detrevirus,Detrevirus D3,,dsDNA
                  Alphatrevirus,1910951,0.24,0.26,0.39,,0.49,0.3,,,,,,0.36,0.25,,,561.0,Escherichia,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Alphatrevirus,
                  Jerseyvirus,1910991,,,,,,,,,,,,1.32,,,,511145.0,Escherichia coli str. K-12 substr. MG1655,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Jerseyvirus,dsDNA
                  Kagunavirus,1910992,0.84,0.84,1.1,1.11,1.01,1.0,0.71,0.76,0.58,1.48,0.38,2.53,0.81,0.89,0.67,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Kagunavirus,dsDNA
                  Alphacarmovirus,1911599,,,,,,,,,,,,,0.17,,,,,,,,,,,,,
                  Gammacarmovirus,1911601,2.84,2.6,2.06,2.84,2.14,1.18,3.3,3.9,7.21,,5.84,1.63,3.14,7.01,2.89,,,,,,,,,,,
              Vequintavirus,1914852,,,,,,,,,,,,0.39,0.25,,,197.0,Campylobacter jejuni,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vequintavirus,Vequintavirus PDX,Vequintavirus FFH2,dsDNA
              Obolenskvirus,1915205,,,,,,,,,,,,0.33,,,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,unclassified Obolenskvirus,,dsDNA
                  Gamaleyavirus,1920753,0.33,0.36,0.54,0.35,0.72,0.28,0.4,0.62,0.58,,,0.36,0.4,0.33,0.38,1884818.0,Escherichia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Gamaleyavirus,dsDNA
                Webervirus,1920860,0.19,,,,0.21,,,,,,,0.55,0.28,,,548.0,Klebsiella aerogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Webervirus,Webervirus F20,dsDNA
                Gemykibivirus,1941236,0.95,5.3,0.99,2.04,1.47,1.14,1.08,5.17,7.0,10.43,8.36,0.81,2.2,4.63,3.4,9662.0,Meles meles,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykibivirus,Gemykibivirus badas1,
                Gemykolovirus,1941238,,,,,,,,,,,0.66,,,,0.35,9852.0,Alces alces,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykolovirus,Gemykolovirus lepam1,
                  Orthonairovirus,1980517,0.17,,,,,,,,,,,,,,,44320.0,Argas hermanni,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Nairoviridae,Orthonairovirus,-ssRNA
              Mudcatvirus,1982088,0.16,,,0.41,,,,,0.45,,,,,0.28,,1771959.0,[Arthrobacter] sp. ATCC 21022,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mudcatvirus,Mudcatvirus arcadia,,dsDNA
              Pepyhexavirus,1982367,,,,,,,,,,,,0.39,,,,1827.0,Rhodococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pepyhexavirus,Pepyhexavirus pepy6,,dsDNA
                  Johnsonvirus,1982576,,,,0.41,,,,,,,,,,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Erskinevirinae,Johnsonvirus,dsDNA
                Gemygorvirus,1985366,,0.44,,,,,,,,,1.24,,,,0.46,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemygorvirus,Gemygorvirus hydro1,
                Gemykrogvirus,1985367,0.27,3.98,0.47,0.69,1.91,0.23,0.31,,0.89,,0.63,,0.3,0.55,,7460.0,Apis mellifera,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykrogvirus,Gemykrogvirus apime1,
                  Pradovirus,1985733,0.32,0.44,,0.97,0.27,0.67,0.45,,1.25,1.27,0.21,0.55,0.35,1.11,0.55,456327.0,Xanthomonas euvesicatoria,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Gujervirinae,Pradovirus,dsDNA
          Pandoravirus,2060084,,0.64,,,,,,,,,2.19,,,,,,,,,,,,,,,
                Porprismacovirus,2169663,,,,,,,,0.42,,,0.21,,,,,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Porprismacovirus,Porprismacovirus alecas1,
                Husavirus,2219049,0.47,0.44,1.01,1.0,0.95,0.56,0.61,0.76,0.53,,0.53,0.91,0.75,0.42,0.41,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,unclassified Picornavirales,Husavirus,unclassified Husavirus,
                    Pregotovirus,2508244,0.17,,,,0.23,,,,,,,,,,,,,,,,,,,,,
              Bingvirus,2560103,,,,0.48,,,,,,,,,,,,1916.0,Streptomyces lividans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Bingvirus,Bingvirus bing,,dsDNA
              Brunovirus,2560108,,,,,,,,,,,,0.33,,,,59204.0,Salmonella enterica subsp. diarizonae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Brunovirus,Brunovirus SEN34,,dsDNA
                  Ceetrepovirus,2560111,,,,,2.16,,,,,,,0.36,,,,38305.0,Corynebacterium vitaeruminis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Zierdtviridae,Toshachvirinae,Ceetrepovirus,dsDNA
              Dismasvirus,2560122,0.17,,,0.41,,,,,,,,0.36,0.18,0.28,,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Dismasvirus,unclassified Dismasvirus,,dsDNA
              Farahnazvirus,2560130,0.25,4.6,0.45,,0.19,,0.97,2.01,,2.4,2.19,0.55,0.48,0.28,0.72,82380.0,Microbacterium oxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Farahnazvirus,Farahnazvirus ISF9,,dsDNA
              Fipvunavirus,2560132,0.28,,0.19,1.28,0.39,0.67,0.5,,0.76,,,0.98,,1.33,1.48,96345.0,Flavobacterium psychrophilum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fipvunavirus,unclassified Fipvunavirus,,dsDNA
              Ilzatvirus,2560150,,,,0.38,,,,,,,,,,,,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Ilzatvirus,unclassified Ilzatvirus,,dsDNA
                Noxifervirus,2560190,,,0.19,,0.31,0.28,,,,,,,,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Noxifervirus,Noxifervirus noxifer,dsDNA
