name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Mastadenovirus,10509,,,,,0.04,,,,,,0.08,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                Sequivirus,12057,,,,,,,,,0.16,0.1,0.07,0.34,4039.0,Daucus carota,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Sequivirus,Sequivirus carotae,
                Sobemovirus,12137,,,,,,,,,0.3,,,,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,,,,0.05,,,,,,,,,,,,,,,,,,,
                Tymovirus,12148,,,,,,,0.19,,0.16,0.26,0.06,,3864.0,Lens culinaris,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus anagyris,+ssRNA
                Potexvirus,12176,,0.16,,1.06,0.06,,,,0.13,,0.09,,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Tobamovirus,12234,37.33,54.57,27.97,63.14,78.27,58.97,16.53,23.87,17.9,55.53,66.87,64.37,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                  Comovirus,12258,,,,,0.04,,,,,,,,4113.0,Solanum tuberosum,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Comovirus,
                Bromovirus,12300,,,,0.04,,,,,,,0.12,,3827.0,Cicer arietinum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,Bromovirus BBMV,+ssRNA
                  Teseptimavirus,110456,,,,,,,,,0.23,,0.11,0.23,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Teseptimavirus,dsDNA
                Myohalovirus,169682,,0.1,,,,,,,,,,,2242.0,Halobacterium salinarum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vertoviridae,Myohalovirus,Myohalovirus spontanei,dsDNA
