name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789181,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,ERR14789353,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,ERR14789334,ERR14789335,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Orthopoxvirus,10242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9836.0,Camelus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Orthopoxvirus,
                  Simplexvirus,10294,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9511.0,Ateles sp.,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
                  Varicellovirus,10319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,9749.0,Delphinapterus leucas,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
                  Cytomegalovirus,10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,9505.0,Aotus trivirgatus,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,dsDNA
                  Rhadinovirus,10379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9506.0,Ateles,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Gammaherpesvirinae,Rhadinovirus,dsDNA
                  Mastadenovirus,10509,,,,,0.04,,,,,,0.08,,,,,,,,,,,,,0.15,0.33,,0.09,,,,,0.28,,,,,1.67,,0.39,,,0.36,0.06,0.36,0.17,,0.15,,,,0.21,,0.22,,0.19,,,,,,,,,,,,,,,,,0.05,,,0.1,,0.85,,0.09,,,,,0.11,,,,,0.48,,,,0.3,,,,,,0.34,,0.28,0.9,18.36,,0.29,0.12,0.44,9.99,,0.93,0.28,,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                  Aviadenovirus,10552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8855.0,Cairina moschata,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Aviadenovirus,
                  Tequatrovirus,10663,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,0.09,0.09,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,67825.0,Citrobacter rodentium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Tequatrovirus,dsDNA
                  Dependoparvovirus,10803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,0.13,,8855.0,Cairina moschata,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
                Rotavirus,10912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Duplornaviricota,Resentoviricetes,unclassified Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,dsRNA
                    Morbillivirus,11229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,
                  Orthobunyavirus,11572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,53527.0,Culex,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Elliovirales,Peribunyaviridae,Orthobunyavirus,-ssRNA
                Marafivirus,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.6,0.34,0.48,1.03,0.26,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3879.0,Medicago sativa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Marafivirus,Marafivirus medicagonis,+ssRNA
                Sequivirus,12057,,,,,,,,,0.16,0.1,0.07,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4039.0,Daucus carota,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Sequivirus,Sequivirus carotae,
                  Enterovirus,12059,,,,,,,,,,,,,,,,,,,,0.02,,0.09,0.06,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.45,,,,,,0.02,,,,,0.08,,,,,,,,,,,
                Sobemovirus,12137,,,,,,,,,0.3,,,,,0.16,,,,,,,,,0.1,,,,,,,0.4,,,,0.17,,,,,,,,0.23,1.24,0.33,,,,0.24,,,,,,,,,0.77,1.88,1.4,1.63,0.99,0.49,0.66,1.74,3.03,1.06,0.86,,1.3,1.77,0.41,,,,,,,,,0.18,,,,,1.01,,,,,1.2,0.93,,0.25,7.41,,,,,,,,0.19,,,,0.68,,,0.32,,,,0.47,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,,,,0.05,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,0.12,,,,,0.28,,,,,,,,10.75,16.22,19.7,17.46,21.6,23.79,14.78,19.75,27.83,5.86,5.27,4.95,18.52,21.62,18.55,0.03,,,0.13,0.16,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Tymovirus,12148,,,,,,,0.19,,0.16,0.26,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.38,0.56,,0.87,0.93,0.35,,0.45,,,,0.68,1.5,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3864.0,Lens culinaris,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus anagyris,+ssRNA
                  Carlavirus,12163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.1,0.2,0.12,,0.17,,0.22,,0.25,,,0.13,0.26,0.4,0.25,,0.41,0.52,0.47,0.23,0.24,,,,,,0.37,,,0.15,,0.06,,,,0.2,0.11,,,,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,85363.0,Aconitum carmichaelii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus,+ssRNA
                Potexvirus,12176,,0.16,,1.06,0.06,,,,0.13,,0.09,,,0.84,2.95,1.82,2.58,1.05,0.64,0.36,0.74,1.19,1.71,0.6,0.52,0.52,0.66,1.95,0.75,2.3,,0.18,6.48,4.23,4.8,2.03,1.42,1.65,6.07,2.1,3.8,0.11,0.19,0.17,,,,0.2,,,5.7,,,0.13,0.12,0.22,0.68,0.64,1.2,0.86,1.79,0.81,1.08,0.64,0.62,,0.42,,1.05,1.72,2.84,0.53,,,,,,,,,,,,0.14,0.71,0.03,,,0.26,0.38,,0.24,,2.53,,,0.21,,,,,,,,,,,,,,,,,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Potyvirus,12195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384659.0,Achyranthes bidentata,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,Potyvirus achyranthis,
                Tobamovirus,12234,37.33,54.57,27.97,63.14,78.27,58.97,16.53,23.87,17.9,55.53,66.87,64.37,54.9,68.85,53.38,59.57,52.69,36.37,81.07,92.13,68.04,70.86,74.28,50.1,51.21,48.49,61.15,62.74,57.45,47.2,,2.8,51.34,45.74,44.94,57.96,44.43,44.91,44.28,53.3,43.58,5.28,10.61,7.38,4.75,13.41,9.89,17.29,45.89,26.81,18.35,3.4,19.57,12.0,3.33,10.12,30.08,26.23,35.23,18.71,19.62,29.93,30.15,30.65,22.22,24.35,18.64,6.29,39.01,16.52,26.34,82.89,70.45,74.32,76.61,84.28,28.52,43.8,38.41,71.39,46.9,82.43,54.64,22.69,18.71,0.31,44.43,38.04,11.0,20.06,8.26,22.65,23.73,25.2,0.28,2.08,48.73,5.86,0.81,0.96,1.17,2.74,0.21,6.17,3.95,4.38,35.07,0.19,4.03,27.52,3.21,0.7,3.82,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                  Comovirus,12258,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.6,1.09,,0.64,0.28,0.28,,,,,,0.93,,,0.07,,,0.09,0.08,,,,,,,0.11,,,,,,,,,,,,,,,,,0.37,,0.29,,,,,,,,,,0.35,,4113.0,Solanum tuberosum,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Comovirus,
                  Nepovirus,12270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.2,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0,Nicotiana benthamiana,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Nepovirus,
                Bromovirus,12300,,,,0.04,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3827.0,Cicer arietinum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,Bromovirus BBMV,+ssRNA
                Circovirus,39725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136180.0,Acartia tonsa,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,unclassified Circovirus,
                  Machlomovirus,39739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Chlamydiamicrovirus,40274,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83554.0,Chlamydia psittaci,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gokushovirinae,Chlamydiamicrovirus,
                Sapovirus,95341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,root,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,unclassified Sapovirus,
