name,taxid,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789314,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Mastadenovirus,10509,,,,,0.28,,,0.24,,,1.67,,0.39,,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                  Enterovirus,12059,,,,3.86,,,,,,,,,,,,,,,,,,,,,,
                Sobemovirus,12137,,,0.4,,,,0.17,,,,,,,,,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
                Potexvirus,12176,1.95,0.75,2.3,,0.18,6.48,4.23,9.57,4.8,2.03,1.42,1.65,6.07,2.1,3.8,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Tobamovirus,12234,62.74,57.45,47.2,,2.8,51.34,45.74,33.02,44.94,57.96,44.43,44.91,44.28,53.3,43.58,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                Norovirus,142786,,,,,,,,,,,,,0.14,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norovirus norwalkense,
                Alphanodavirus,143920,,0.39,,,,0.39,0.2,,,,,,,,,295550.0,Heteronychus arator,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Alphanodavirus,Alphanodavirus heteronychi,+ssRNA
                Cripavirus,144051,,,,,,,0.13,,,,,,,,,7165.0,Anopheles gambiae,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,Cripavirus,unclassified Cripavirus,
                Phaeovirus,181085,,,,,,,,,,0.17,3.09,,,,,2880.0,Ectocarpus siliculosus,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Phaeovirus,Phaeovirus unasiliculosus,
              Punavirus,186789,,,,,,0.72,0.17,,,,,,0.16,,,561.0,Escherichia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Punavirus,Punavirus P1,,dsDNA
              Lederbergvirus,186794,,,,,,,,,,,,,0.27,,,439184.0,Escherichia coli RS218,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lederbergvirus,unclassified Lederbergvirus,,dsDNA
                Mamastrovirus,249588,0.37,1.13,1.98,,,,0.23,1.09,,0.82,1.17,2.55,0.97,0.61,2.12,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus melbournense,
              Uetakevirus,542960,0.37,0.42,0.84,,0.26,,0.2,0.97,,,,,0.35,,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Uetakevirus,unclassified Uetakevirus,,dsDNA
                Kuravirus,680277,,,,,0.23,,,0.18,,,,,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mktvariviridae,Gordonclarkvirinae,Kuravirus,dsDNA
                  Salivirus,688449,,,,,,,0.25,,,,,,,,,9598.0,Pan troglodytes,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kodimesavirinae,Salivirus,
