name,taxid,ERR14789353,ERR14789354,ERR14789355,ERR14789356,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Mastadenovirus,10509,0.05,0.25,,0.47,,,0.1,,0.85,,0.09,,,,,9555.0,Papio anubis,Varidnaviria,Bamfordvirae,Preplasmiviricota,Polisuviricotina,Pharingeaviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
                  Dependoparvovirus,10803,,0.21,,,,,0.08,0.12,,,,,,,,8855.0,Cairina moschata,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Dependoparvovirus,
                Sobemovirus,12137,,,,,,,,,,,,0.18,,,,35608.0,Artemisia annua,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sobemovirus ARTVA,
                  Tombusvirus,12141,0.03,0.16,,,,,0.13,0.16,,,,,,,,,,,,,,,,,,
                Tymovirus,12148,,0.18,,,,,,0.09,,,,,,,,3864.0,Lens culinaris,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus anagyris,+ssRNA
                  Carlavirus,12163,0.15,0.07,,0.27,,0.06,,,,0.2,0.11,,,,0.12,85363.0,Aconitum carmichaelii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus,+ssRNA
                Potexvirus,12176,0.53,0.05,,,,,,,,,,,,,,4686.0,Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA
                Tobamovirus,12234,82.89,67.23,57.82,38.11,70.45,74.32,76.61,84.28,28.52,43.8,38.41,71.39,46.9,82.43,54.64,4071.0,Capsicum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Tobamovirus maculacapsici,+ssRNA
                  Comovirus,12258,0.07,,,,,,0.09,0.08,,,,,,,0.11,4113.0,Solanum tuberosum,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Comovirus,
                  Nepovirus,12270,0.08,,0.39,,,,,,,,,0.2,0.48,,,4100.0,Nicotiana benthamiana,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,Nepovirus,
                Sapovirus,95341,0.06,,,,,,,,,,,,,,,1.0,root,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,unclassified Sapovirus,
                Alphanodavirus,143920,0.09,0.24,0.83,,0.19,0.09,,0.14,,0.73,,,0.22,0.1,0.21,295550.0,Heteronychus arator,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Alphanodavirus,Alphanodavirus heteronychi,+ssRNA
                Chlorovirus,181083,,,,,,0.05,,,,,,,,,,554066.0,Chlorella heliozoae,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Chlorovirus heliozoae,
              Ceduovirus,186532,,0.09,,,,,,,,0.35,0.1,,,,0.11,1359.0,Lactococcus cremoris,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Ceduovirus,unclassified Ceduovirus,,dsDNA
              Fromanvirus,186764,0.03,0.07,,0.26,0.18,0.14,0.12,0.06,0.54,,0.12,,,,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fromanvirus,,,dsDNA
              Punavirus,186789,0.05,,,,,,,,,,,,,,,561.0,Escherichia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Punavirus,Punavirus P1,,dsDNA
              Lederbergvirus,186794,0.18,,,,,,,,,,,,,,,439184.0,Escherichia coli RS218,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lederbergvirus,unclassified Lederbergvirus,,dsDNA
                Mamastrovirus,249588,0.13,,,,,,,,,0.44,0.43,0.45,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus melbournense,
                  Mimivirus,315393,,,0.27,,,,,,,0.16,,,,,,5755.0,Acanthamoeba castellanii,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,Mimivirus,
              Rauchvirus,542959,0.03,0.35,0.39,1.82,6.58,2.67,2.06,0.74,4.89,3.44,0.47,0.29,0.38,3.02,1.87,518.0,Bordetella bronchiseptica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rauchvirus,Rauchvirus BPP1,,dsDNA
              Uetakevirus,542960,0.06,0.13,,,,0.05,0.11,,,,0.15,,,,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Uetakevirus,unclassified Uetakevirus,,dsDNA
            Alphabaculovirus,558016,0.05,0.05,,,,0.05,,,,,,,0.19,,0.14,,,,,,,,,,,
                  Felixounavirus,1198140,0.03,,,,,,,,,,,,,,,991919.0,Escherichia coli O145:NM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Andersonviridae,Ounavirinae,Felixounavirus,dsDNA
            Muscavirus,1285593,,,,,,,,,,,,,,,0.19,,,,,,,,,,,
                  Alphanecrovirus,1299309,,0.18,,,,,,,,,0.08,,,,,,,,,,,,,,,
                  Yuavirus,1299429,,,0.74,,0.25,0.09,,,,,,,0.72,0.09,0.8,208964.0,Pseudomonas aeruginosa PAO1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mesyanzhinovviridae,Rabinowitzvirinae,Yuavirus,dsDNA
