realm,kingdom,phylum,class,order,family,genus,species
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Dependoparvovirus
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Sedoreoviridae, Rotavirus
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Simiispumavirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Kobuvirus
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Phlebovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus kyasanurense
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, unclassified Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Rubulavirinae
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Feraresvirinae
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus melbournense
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, unclassified Astroviridae,
 Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus virginiaense
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Spinareoviridae, Orthoreovirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Avulavirinae
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Peribunyaviridae, Orthobunyavirus
 unclassified bacterial viruses,,,,,,,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, unclassified Flaviviridae,
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Sedoreoviridae, Seadornavirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus barmah
 Varidnaviria, Bamfordvirae, Preplasmiviricota, Polisuviricotina, Pharingeaviricetes, Rowavirales, Adenoviridae, Mastadenovirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Nairoviridae, Norwavirus
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Betapolyomavirus,
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Bocaparvovirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, unclassified Parvovirinae
 Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, unclassified Mononegavirales, Filoviridae
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus cacipacoreense
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Norovirus, Norovirus norwalkense
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cardiovirus
 Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Orthoherpesviridae, Betaherpesvirinae, Cytomegalovirus
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus chikungunya
 unclassified viruses, unclassified DNA viruses, unclassified ssDNA viruses, Circo-like virus-Brazil,,,,
 unclassified viruses, unclassified DNA viruses, unclassified ssDNA viruses,,,,,
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Spinareoviridae, Coltivirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cosavirus
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Oryzopoxvirus
 Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Orthopoxvirus
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, unclassified Ensavirinae
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Crassvirales, Intestiviridae, Crudevirinae, Carjivirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Protoparvovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus mmadu
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus mutum
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus insaan
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus homa
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus manukha
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus maanav
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, unclassified Cyclovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus manitan
