virus tax id,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,baltimore_class
1482734,8839.0,Anas platyrhynchos,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Paavivirinae,
3158377,214697.0,Musa acuminata AAA Group,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Mulpavirales,Nanoviridae,Babuvirus,
3416944,36100.0,Haliotis rubra,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Aurivirus,dsDNA
491893,37770.0,Haliotis diversicolor aquatilis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,dsDNA
11788,10090.0,Mus musculus,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,ssRNA-RT
2025595,201501.0,Epirrita autumnata,Riboviria,unclassified Riboviria,,,,,,
2303487,53527.0,Culex,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Elliovirales,Peribunyaviridae,-ssRNA
248058,44320.0,Argas hermanni,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Nairoviridae,-ssRNA
665102,3630.0,Abutilon,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Geminiviridae,Begomovirus,
554168,5755.0,Acanthamoeba castellanii,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,
2080449,5755.0,Acanthamoeba castellanii,unclassified viruses,,,,,,,
411359,554066.0,Chlorella heliozoae,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,
1168547,136180.0,Acartia tonsa,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,
3141805,745369.0,Acetoanaerobium noterae,unclassified bacterial viruses,,,,,,,
185639,6997.0,Acheta domesticus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Densovirinae,
2812802,6997.0,Acheta domesticus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Iflaviridae,Iflavirus,
1291515,6997.0,Acheta domesticus,unclassified viruses,unclassified DNA viruses,unclassified ssDNA viruses,Volvovirus,,,,
